id,Category,Price_tier,Neighborhood,Opening_hours,Average_rating,Good_for_kids
1,Italian,Expensive,Manhattan,8am-10pm,2.7,true
2,Chinese,Cheap,Queens,8am-10pm,1.4,true
3,Mexican,Expensive,Queens,8am-10pm,4.9,false
4,American,Cheap,Queens,8am-10pm,4.9,false
5,American,Medium,Staten Island,8am-10pm,1.6,false
6,Mexican,Medium,Queens,8am-10pm,4.2,true
7,Chinese,Cheap,Brooklyn,8am-10pm,4.0,true
8,Chinese,Medium,Manhattan,8am-10pm,3.5,false
9,Chinese,Cheap,Staten Island,8am-10pm,3.0,true
10,American,Medium,Manhattan,8am-10pm,4.3,true
11,Italian,Expensive,Queens,8am-10pm,1.9,false
12,American,Medium,Manhattan,8am-10pm,4.6,true
13,Italian,Cheap,Queens,8am-10pm,3.3,false
14,Italian,Expensive,Queens,8am-10pm,1.9,false
15,Japanese,Medium,Bronx,8am-10pm,3.5,false
16,American,Expensive,Brooklyn,8am-10pm,3.1,true
17,Italian,Medium,Brooklyn,8am-10pm,3.7,true
18,American,Expensive,Queens,8am-10pm,1.9,false
19,Chinese,Cheap,Manhattan,8am-10pm,3.5,true
20,Mexican,Expensive,Queens,8am-10pm,4.3,true
21,Mexican,Expensive,Queens,8am-10pm,2.3,false
22,American,Medium,Manhattan,8am-10pm,4.6,true
23,Italian,Cheap,Bronx,8am-10pm,1.8,true
24,Mexican,Medium,Brooklyn,8am-10pm,1.0,false
25,Italian,Cheap,Brooklyn,8am-10pm,4.2,true
26,Chinese,Medium,Queens,8am-10pm,4.2,false
27,Mexican,Expensive,Staten Island,8am-10pm,4.7,false
28,Mexican,Medium,Queens,8am-10pm,3.6,false
29,Japanese,Medium,Staten Island,8am-10pm,4.7,false
30,Chinese,Expensive,Staten Island,8am-10pm,4.3,true
31,Chinese,Medium,Staten Island,8am-10pm,1.6,true
32,Chinese,Medium,Manhattan,8am-10pm,4.9,true
33,Mexican,Medium,Manhattan,8am-10pm,2.6,false
34,Chinese,Medium,Queens,8am-10pm,2.2,true
35,Chinese,Cheap,Manhattan,8am-10pm,1.9,false
36,American,Expensive,Staten Island,8am-10pm,3.3,false
37,Japanese,Medium,Bronx,8am-10pm,4.6,true
38,Chinese,Medium,Staten Island,8am-10pm,4.5,false
39,Japanese,Expensive,Brooklyn,8am-10pm,3.9,true
40,Italian,Expensive,Bronx,8am-10pm,1.5,false
41,Italian,Expensive,Bronx,8am-10pm,2.9,true
42,Chinese,Medium,Brooklyn,8am-10pm,2.3,true
43,Japanese,Medium,Bronx,8am-10pm,4.3,false
44,Japanese,Medium,Brooklyn,8am-10pm,1.4,true
45,Chinese,Cheap,Queens,8am-10pm,5.0,false
46,Chinese,Expensive,Manhattan,8am-10pm,1.9,false
47,Chinese,Expensive,Bronx,8am-10pm,1.4,true
48,American,Expensive,Manhattan,8am-10pm,1.8,true
49,Mexican,Medium,Brooklyn,8am-10pm,1.5,true
50,Chinese,Expensive,Bronx,8am-10pm,4.4,false
51,Japanese,Medium,Queens,8am-10pm,2.5,true
52,Chinese,Cheap,Staten Island,8am-10pm,3.7,false
53,Chinese,Medium,Bronx,8am-10pm,3.4,true
54,Mexican,Medium,Staten Island,8am-10pm,2.0,false
55,Italian,Medium,Staten Island,8am-10pm,4.5,true
56,Italian,Expensive,Queens,8am-10pm,2.6,false
57,Japanese,Medium,Brooklyn,8am-10pm,4.9,true
58,Chinese,Medium,Bronx,8am-10pm,4.8,true
59,Chinese,Expensive,Brooklyn,8am-10pm,3.3,true
60,Japanese,Medium,Staten Island,8am-10pm,3.5,false
61,Mexican,Expensive,Manhattan,8am-10pm,1.7,true
62,Chinese,Expensive,Brooklyn,8am-10pm,3.5,true
63,Italian,Medium,Staten Island,8am-10pm,4.4,true
64,Chinese,Medium,Manhattan,8am-10pm,3.2,false
65,Japanese,Cheap,Brooklyn,8am-10pm,1.3,false
66,Japanese,Medium,Bronx,8am-10pm,2.3,false
67,Italian,Medium,Staten Island,8am-10pm,1.9,true
68,Italian,Cheap,Brooklyn,8am-10pm,3.0,false
69,Italian,Cheap,Staten Island,8am-10pm,1.3,false
70,Japanese,Expensive,Staten Island,8am-10pm,1.0,true
71,Chinese,Medium,Brooklyn,8am-10pm,4.4,false
72,American,Medium,Queens,8am-10pm,1.9,false
73,Japanese,Medium,Brooklyn,8am-10pm,4.3,true
74,Italian,Medium,Bronx,8am-10pm,5.0,true
75,Mexican,Medium,Brooklyn,8am-10pm,1.3,false
76,Mexican,Medium,Manhattan,8am-10pm,3.2,true
77,Japanese,Expensive,Manhattan,8am-10pm,4.3,true
78,Japanese,Expensive,Brooklyn,8am-10pm,1.7,true
79,American,Cheap,Manhattan,8am-10pm,4.3,false
80,Chinese,Cheap,Queens,8am-10pm,2.0,true
81,American,Medium,Manhattan,8am-10pm,2.3,false
82,Italian,Cheap,Manhattan,8am-10pm,4.1,false
83,Japanese,Expensive,Brooklyn,8am-10pm,2.0,false
84,Japanese,Cheap,Staten Island,8am-10pm,2.2,false
85,American,Medium,Brooklyn,8am-10pm,1.3,true
86,Chinese,Medium,Staten Island,8am-10pm,3.9,true
87,American,Expensive,Queens,8am-10pm,3.8,true
88,Japanese,Cheap,Staten Island,8am-10pm,3.2,false
89,Mexican,Cheap,Brooklyn,8am-10pm,4.8,false
90,Mexican,Expensive,Staten Island,8am-10pm,3.2,false
91,Mexican,Medium,Staten Island,8am-10pm,2.9,true
92,Mexican,Expensive,Brooklyn,8am-10pm,2.7,true
93,American,Expensive,Staten Island,8am-10pm,1.7,true
94,Mexican,Expensive,Queens,8am-10pm,3.1,true
95,Japanese,Expensive,Bronx,8am-10pm,2.8,true
96,Italian,Medium,Queens,8am-10pm,4.3,true
97,American,Medium,Manhattan,8am-10pm,3.5,true
98,Japanese,Cheap,Queens,8am-10pm,1.2,true
99,Japanese,Cheap,Brooklyn,8am-10pm,4.7,true
100,American,Medium,Queens,8am-10pm,3.8,false
101,Chinese,Cheap,Bronx,8am-10pm,1.2,true
102,Mexican,Cheap,Manhattan,8am-10pm,3.5,true
103,Italian,Medium,Brooklyn,8am-10pm,3.8,false
104,Japanese,Expensive,Bronx,8am-10pm,3.4,true
105,Chinese,Expensive,Queens,8am-10pm,1.8,true
106,Chinese,Cheap,Staten Island,8am-10pm,4.2,false
107,American,Cheap,Bronx,8am-10pm,1.0,false
108,Italian,Cheap,Manhattan,8am-10pm,4.8,true
109,Italian,Expensive,Manhattan,8am-10pm,2.3,true
110,Mexican,Cheap,Manhattan,8am-10pm,3.7,false
111,Japanese,Medium,Queens,8am-10pm,4.1,false
112,Japanese,Expensive,Bronx,8am-10pm,2.9,false
113,American,Medium,Queens,8am-10pm,3.4,true
114,Chinese,Medium,Manhattan,8am-10pm,2.0,true
115,Chinese,Expensive,Staten Island,8am-10pm,1.7,true
116,Chinese,Medium,Queens,8am-10pm,4.3,true
117,Chinese,Cheap,Queens,8am-10pm,2.6,false
118,American,Cheap,Brooklyn,8am-10pm,3.2,true
119,Chinese,Medium,Manhattan,8am-10pm,4.3,false
120,Chinese,Medium,Queens,8am-10pm,2.4,false
121,Italian,Expensive,Staten Island,8am-10pm,2.1,false
122,Italian,Medium,Bronx,8am-10pm,2.9,false
123,Italian,Cheap,Queens,8am-10pm,3.4,false
124,American,Expensive,Brooklyn,8am-10pm,3.7,false
125,Mexican,Medium,Bronx,8am-10pm,1.8,true
126,Japanese,Medium,Manhattan,8am-10pm,1.4,true
127,Japanese,Medium,Brooklyn,8am-10pm,3.8,true
128,Chinese,Expensive,Manhattan,8am-10pm,4.9,false
129,Italian,Cheap,Queens,8am-10pm,4.5,false
130,Japanese,Cheap,Manhattan,8am-10pm,2.1,false
131,Japanese,Cheap,Staten Island,8am-10pm,3.1,true
132,Chinese,Cheap,Brooklyn,8am-10pm,2.8,false
133,Japanese,Medium,Brooklyn,8am-10pm,4.1,false
134,Mexican,Expensive,Manhattan,8am-10pm,1.5,false
135,American,Cheap,Brooklyn,8am-10pm,2.2,true
136,Chinese,Expensive,Queens,8am-10pm,1.6,false
137,American,Expensive,Brooklyn,8am-10pm,4.9,true
138,Italian,Medium,Manhattan,8am-10pm,4.7,false
139,Italian,Cheap,Bronx,8am-10pm,4.7,false
140,American,Expensive,Manhattan,8am-10pm,2.6,true
141,Mexican,Medium,Staten Island,8am-10pm,4.3,true
142,American,Medium,Queens,8am-10pm,4.3,false
143,Chinese,Cheap,Staten Island,8am-10pm,3.6,true
144,Japanese,Expensive,Bronx,8am-10pm,2.1,false
145,Italian,Expensive,Staten Island,8am-10pm,2.9,false
146,American,Medium,Brooklyn,8am-10pm,1.0,false
147,Mexican,Expensive,Brooklyn,8am-10pm,1.6,false
148,Japanese,Expensive,Manhattan,8am-10pm,2.2,true
149,Japanese,Medium,Brooklyn,8am-10pm,3.5,true
150,American,Expensive,Bronx,8am-10pm,4.1,false
151,Mexican,Medium,Bronx,8am-10pm,3.4,true
152,Chinese,Cheap,Manhattan,8am-10pm,1.8,true
153,Italian,Medium,Bronx,8am-10pm,1.0,true
154,American,Expensive,Manhattan,8am-10pm,4.0,false
155,Italian,Cheap,Queens,8am-10pm,4.2,true
156,Italian,Cheap,Manhattan,8am-10pm,2.9,false
157,Japanese,Medium,Manhattan,8am-10pm,1.6,false
158,Japanese,Expensive,Queens,8am-10pm,4.2,false
159,Chinese,Expensive,Queens,8am-10pm,1.7,true
160,Japanese,Expensive,Queens,8am-10pm,4.3,false
161,American,Cheap,Manhattan,8am-10pm,3.5,true
162,American,Cheap,Bronx,8am-10pm,5.0,false
163,American,Cheap,Brooklyn,8am-10pm,3.4,false
164,Italian,Expensive,Bronx,8am-10pm,3.8,true
165,Italian,Expensive,Brooklyn,8am-10pm,2.3,false
166,Mexican,Expensive,Queens,8am-10pm,1.5,false
167,Chinese,Expensive,Bronx,8am-10pm,2.2,false
168,Mexican,Medium,Queens,8am-10pm,1.5,false
169,Chinese,Medium,Bronx,8am-10pm,2.5,false
170,Mexican,Medium,Brooklyn,8am-10pm,4.2,false
171,Chinese,Cheap,Staten Island,8am-10pm,3.6,false
172,Mexican,Medium,Bronx,8am-10pm,2.1,true
173,Mexican,Expensive,Bronx,8am-10pm,3.1,false
174,American,Cheap,Staten Island,8am-10pm,1.1,true
175,Mexican,Cheap,Bronx,8am-10pm,2.0,true
176,Japanese,Medium,Staten Island,8am-10pm,1.6,true
177,American,Cheap,Brooklyn,8am-10pm,2.5,false
178,Chinese,Expensive,Bronx,8am-10pm,4.2,false
179,Mexican,Expensive,Queens,8am-10pm,3.7,false
180,Chinese,Cheap,Queens,8am-10pm,1.6,true
181,Mexican,Medium,Bronx,8am-10pm,4.6,false
182,Japanese,Cheap,Manhattan,8am-10pm,2.2,false
183,Chinese,Medium,Brooklyn,8am-10pm,2.9,true
184,Mexican,Cheap,Queens,8am-10pm,1.1,false
185,Italian,Cheap,Bronx,8am-10pm,3.0,false
186,Mexican,Cheap,Brooklyn,8am-10pm,2.4,true
187,Mexican,Expensive,Queens,8am-10pm,4.9,true
188,Chinese,Cheap,Manhattan,8am-10pm,3.5,false
189,Chinese,Expensive,Queens,8am-10pm,3.0,true
190,Chinese,Cheap,Queens,8am-10pm,4.0,false
191,Mexican,Medium,Manhattan,8am-10pm,2.8,false
192,Mexican,Expensive,Bronx,8am-10pm,3.5,true
193,Chinese,Expensive,Staten Island,8am-10pm,4.9,true
194,Italian,Cheap,Staten Island,8am-10pm,3.4,false
195,Mexican,Cheap,Brooklyn,8am-10pm,4.6,false
196,Japanese,Medium,Manhattan,8am-10pm,2.3,false
197,American,Cheap,Manhattan,8am-10pm,3.1,false
198,Japanese,Expensive,Staten Island,8am-10pm,4.1,true
199,American,Medium,Staten Island,8am-10pm,1.2,true
200,American,Cheap,Queens,8am-10pm,2.3,false
201,American,Cheap,Manhattan,8am-10pm,1.3,true
202,Italian,Medium,Brooklyn,8am-10pm,4.5,true
203,Italian,Cheap,Bronx,8am-10pm,3.0,false
204,American,Expensive,Manhattan,8am-10pm,1.3,true
205,American,Medium,Staten Island,8am-10pm,4.2,false
206,Italian,Medium,Queens,8am-10pm,2.1,false
207,American,Cheap,Queens,8am-10pm,3.4,false
208,Italian,Cheap,Bronx,8am-10pm,2.3,false
209,Italian,Cheap,Manhattan,8am-10pm,4.3,false
210,American,Cheap,Brooklyn,8am-10pm,1.2,true
211,Italian,Cheap,Queens,8am-10pm,4.0,true
212,Italian,Medium,Staten Island,8am-10pm,4.9,true
213,Italian,Expensive,Brooklyn,8am-10pm,2.3,false
214,Japanese,Cheap,Queens,8am-10pm,1.5,false
215,Mexican,Medium,Manhattan,8am-10pm,2.4,true
216,American,Medium,Queens,8am-10pm,4.9,true
217,Chinese,Cheap,Staten Island,8am-10pm,3.3,true
218,Chinese,Cheap,Staten Island,8am-10pm,3.7,true
219,Mexican,Medium,Staten Island,8am-10pm,3.9,true
220,Mexican,Cheap,Queens,8am-10pm,1.8,false
221,Chinese,Medium,Queens,8am-10pm,4.8,true
222,Italian,Medium,Brooklyn,8am-10pm,5.0,true
223,Mexican,Medium,Bronx,8am-10pm,4.9,true
224,Italian,Medium,Manhattan,8am-10pm,1.4,false
225,Japanese,Medium,Staten Island,8am-10pm,3.9,true
226,American,Medium,Manhattan,8am-10pm,4.4,true
227,Chinese,Cheap,Queens,8am-10pm,1.1,true
228,Mexican,Expensive,Bronx,8am-10pm,4.3,false
229,Italian,Expensive,Brooklyn,8am-10pm,1.7,true
230,Mexican,Cheap,Bronx,8am-10pm,1.5,true
231,Chinese,Expensive,Manhattan,8am-10pm,4.8,true
232,Japanese,Medium,Brooklyn,8am-10pm,1.4,true
233,Chinese,Medium,Manhattan,8am-10pm,1.4,true
234,American,Cheap,Queens,8am-10pm,2.2,false
235,Mexican,Medium,Queens,8am-10pm,3.7,true
236,Japanese,Cheap,Brooklyn,8am-10pm,1.2,true
237,Japanese,Medium,Staten Island,8am-10pm,3.9,false
238,Mexican,Expensive,Manhattan,8am-10pm,1.8,true
239,Chinese,Medium,Staten Island,8am-10pm,1.4,true
240,Chinese,Expensive,Brooklyn,8am-10pm,3.0,false
241,Italian,Medium,Bronx,8am-10pm,2.2,true
242,Mexican,Medium,Bronx,8am-10pm,1.9,false
243,Chinese,Cheap,Brooklyn,8am-10pm,1.1,false
244,American,Medium,Brooklyn,8am-10pm,3.7,false
245,Japanese,Medium,Queens,8am-10pm,2.0,true
246,Mexican,Cheap,Staten Island,8am-10pm,1.3,true
247,Italian,Cheap,Manhattan,8am-10pm,2.7,true
248,Chinese,Cheap,Queens,8am-10pm,3.8,false
249,Mexican,Expensive,Queens,8am-10pm,2.2,false
250,Italian,Medium,Staten Island,8am-10pm,2.3,false
251,Mexican,Cheap,Queens,8am-10pm,1.8,false
252,Chinese,Expensive,Bronx,8am-10pm,3.9,false
253,Japanese,Expensive,Staten Island,8am-10pm,1.7,true
254,Chinese,Cheap,Manhattan,8am-10pm,2.1,true
255,Italian,Cheap,Manhattan,8am-10pm,1.8,false
256,Chinese,Cheap,Bronx,8am-10pm,4.1,false
257,Japanese,Expensive,Bronx,8am-10pm,1.5,true
258,Italian,Medium,Brooklyn,8am-10pm,4.9,true
259,Japanese,Medium,Bronx,8am-10pm,4.5,true
260,Chinese,Expensive,Queens,8am-10pm,1.5,true
261,Chinese,Cheap,Manhattan,8am-10pm,3.2,false
262,Italian,Medium,Staten Island,8am-10pm,2.4,true
263,Mexican,Medium,Brooklyn,8am-10pm,4.5,true
264,Mexican,Medium,Bronx,8am-10pm,1.2,true
265,American,Expensive,Manhattan,8am-10pm,3.9,false
266,Italian,Medium,Manhattan,8am-10pm,1.6,true
267,Italian,Medium,Brooklyn,8am-10pm,2.8,false
268,American,Expensive,Brooklyn,8am-10pm,3.5,false
269,Italian,Expensive,Bronx,8am-10pm,1.0,false
270,Italian,Cheap,Queens,8am-10pm,4.7,true
271,Japanese,Expensive,Brooklyn,8am-10pm,3.1,true
272,Mexican,Cheap,Queens,8am-10pm,3.0,false
273,Italian,Cheap,Staten Island,8am-10pm,3.8,false
274,Japanese,Expensive,Staten Island,8am-10pm,1.2,false
275,Mexican,Medium,Queens,8am-10pm,3.9,true
276,American,Expensive,Staten Island,8am-10pm,4.7,false
277,Mexican,Expensive,Bronx,8am-10pm,4.1,false
278,Japanese,Cheap,Bronx,8am-10pm,4.9,false
279,Italian,Cheap,Bronx,8am-10pm,1.9,false
280,American,Cheap,Brooklyn,8am-10pm,3.0,false
281,Chinese,Cheap,Queens,8am-10pm,2.7,true
282,Mexican,Expensive,Manhattan,8am-10pm,3.7,false
283,Mexican,Cheap,Bronx,8am-10pm,4.2,true
284,Chinese,Medium,Brooklyn,8am-10pm,3.0,false
285,Japanese,Cheap,Staten Island,8am-10pm,2.9,true
286,American,Medium,Staten Island,8am-10pm,3.4,true
287,American,Cheap,Staten Island,8am-10pm,4.7,true
288,Mexican,Expensive,Bronx,8am-10pm,4.7,true
289,American,Expensive,Bronx,8am-10pm,1.8,true
290,Italian,Expensive,Manhattan,8am-10pm,3.9,false
291,Mexican,Medium,Queens,8am-10pm,3.8,false
292,American,Expensive,Queens,8am-10pm,4.7,false
293,American,Cheap,Brooklyn,8am-10pm,1.4,true
294,Mexican,Cheap,Bronx,8am-10pm,1.0,false
295,Japanese,Cheap,Staten Island,8am-10pm,1.4,false
296,Chinese,Medium,Staten Island,8am-10pm,2.7,false
297,Chinese,Cheap,Brooklyn,8am-10pm,1.5,false
298,American,Medium,Brooklyn,8am-10pm,4.0,true
299,Japanese,Expensive,Queens,8am-10pm,1.3,true
300,Japanese,Cheap,Bronx,8am-10pm,3.3,false
301,Chinese,Expensive,Bronx,8am-10pm,1.1,true
302,Italian,Cheap,Queens,8am-10pm,3.5,true
303,Chinese,Medium,Brooklyn,8am-10pm,2.4,true
304,Mexican,Cheap,Bronx,8am-10pm,3.4,true
305,Japanese,Medium,Manhattan,8am-10pm,2.4,false
306,American,Medium,Staten Island,8am-10pm,3.6,false
307,Italian,Expensive,Staten Island,8am-10pm,2.8,false
308,Mexican,Cheap,Manhattan,8am-10pm,3.7,false
309,Chinese,Cheap,Manhattan,8am-10pm,1.7,true
310,Japanese,Cheap,Brooklyn,8am-10pm,1.9,true
311,Japanese,Medium,Staten Island,8am-10pm,4.5,false
312,Italian,Cheap,Brooklyn,8am-10pm,3.6,false
313,Italian,Medium,Bronx,8am-10pm,2.2,true
314,Mexican,Expensive,Manhattan,8am-10pm,4.8,true
315,Italian,Medium,Staten Island,8am-10pm,3.5,false
316,Mexican,Expensive,Manhattan,8am-10pm,3.2,true
317,American,Cheap,Bronx,8am-10pm,2.0,true
318,Japanese,Expensive,Brooklyn,8am-10pm,2.3,true
319,Italian,Expensive,Queens,8am-10pm,4.1,false
320,Japanese,Expensive,Staten Island,8am-10pm,2.8,false
321,Italian,Medium,Queens,8am-10pm,2.0,false
322,Japanese,Expensive,Queens,8am-10pm,2.9,true
323,Japanese,Cheap,Brooklyn,8am-10pm,1.4,true
324,Japanese,Medium,Staten Island,8am-10pm,2.4,true
325,Mexican,Medium,Queens,8am-10pm,2.2,false
326,Chinese,Cheap,Manhattan,8am-10pm,3.1,false
327,Italian,Medium,Bronx,8am-10pm,3.0,true
328,Japanese,Expensive,Staten Island,8am-10pm,3.5,true
329,Japanese,Cheap,Brooklyn,8am-10pm,4.6,true
330,Mexican,Medium,Brooklyn,8am-10pm,1.5,false
331,Mexican,Cheap,Bronx,8am-10pm,3.8,false
332,Chinese,Cheap,Manhattan,8am-10pm,4.6,true
333,Italian,Cheap,Manhattan,8am-10pm,1.1,true
334,Mexican,Medium,Manhattan,8am-10pm,1.6,false
335,Chinese,Medium,Manhattan,8am-10pm,3.8,false
336,Italian,Expensive,Manhattan,8am-10pm,1.6,true
